AskAPatient.fold-3.test,166717003,Serum creatinine raised,CPK mildly elevated,C0700225,C0856882,
AskAPatient.fold-3.test,3723001,Arthritis,arthritis,C3267876 C0003864,C0263776 C0003873 C0541786 C0003864 C0158026 C1405877 C1328469,C0003864 
AskAPatient.fold-3.test,248491001,Swollen knee,swelling at knee,C0240130,C0038999 C0022742,
AskAPatient.fold-3.test,288231001,Myalgia/myositis - lower leg,leg muscle soreness,C0231528 C0230446 C1140621 C0027121,C0231528 C0575064 C1140621,C0231528 C1140621 
AskAPatient.fold-3.test,55300003,Cramp,mussle spasm,C0026821 C0270814 C1446787,C0037763,
AskAPatient.fold-3.test,131148009,Bleeding,bleeding,C0019080,C0019080,C0019080 
AskAPatient.fold-3.test,48167000,Amnesia,memory loss,C0002622 C3824794,C0002622 C0751295,C0002622 
AskAPatient.fold-3.test,88092000,Muscle atrophy,loss of muscle mass in hands,C0026846 C0541794,C0018563 C0240417,
AskAPatient.fold-3.test,75694006,Pancreatitis,acute pancreatic attack,C1963198 C0030305,C1304680 C0030304 C0030274,
AskAPatient.fold-3.test,271767006,Peeling of skin,skin began to come off,C0237849,,
AskAPatient.fold-3.test,271801002,Taste sense altered,Taste perversion,C0013378,C0013378,C0013378 
AskAPatient.fold-3.test,271870002,Low blood pressure reading,hypotension,C0476454 C0436783 C0580944 C0436781 C0476453,C3163620 C0163170 C0020649,
AskAPatient.fold-3.test,162043005,Hunger pain,Hunger pangs,C0581870,C0581870,C0581870 
AskAPatient.fold-3.test,68962001,Myalgia,muscle pain,C0231528,C0231528 C1963177,C0231528 
AskAPatient.fold-3.test,48694002,Anxiety,Anxiety,C4050613 C0860603 C0003467 C0003469 C1963064,C4050613 C0860603 C0003467 C0003469 C1963064,C4050613 C0860603 C0003467 C0003469 C1963064 
AskAPatient.fold-3.test,300954003,Pain in calf,severe pain in left leg,C0236040,C2032349 C2896461 C2199591 C1306232 C2141086 C2032367 C0564820 C0564822,
AskAPatient.fold-3.test,162043005,Hunger pain,hungry feeling,C0581870,C1527305 C0020175 C0013987,
AskAPatient.fold-3.test,10601006,Pain in lower limb,legs ache,C0023222 C0839480,C0234238 C1140621,
AskAPatient.fold-3.test,161891005,Backache,back pain,C0004604,C0004604 C0677061 C1963071,C0004604 
AskAPatient.fold-3.test,3848011000036104,Pravachol,Pravachol,C0700763,C0700763,C0700763 
AskAPatient.fold-3.test,68962001,Myalgia,muscle soreness,C0231528,C0231528 C0575064,C0231528 
AskAPatient.fold-3.test,247640008,Unable to think clearly,not be able to process thoughts,C0423994 C0558227,C1299581 C0039869,
AskAPatient.fold-3.test,10601006,Pain in lower limb,leg pain,C0023222 C0839480,C0023222 C0839480,C0023222 C0839480 
AskAPatient.fold-3.test,3384011000036100,Arthrotec,arthritis strength tylenol,C0210355,C0263776 C0699142 C0003873 C0541786 C0003864 C0158026 C1405877 C1328469,
AskAPatient.fold-3.test,27355003,Toothache,toothache,C0040460 C0727671,C0040460 C0727671,C0040460 C0727671 
AskAPatient.fold-3.test,55300003,Muscle cramp,cramps,C0026821,C0026821,C0026821 
AskAPatient.fold-3.test,309557009,Numbness of face,face has felt numb,C0239511,C0015450,
AskAPatient.fold-3.test,22253000,Pain,pain,C0030193 C1882272 C2598155,C0030193,C0030193 
AskAPatient.fold-3.test,249966004,Spasmodic movement,twitching,C1704276,C0033774 C0231530,
AskAPatient.fold-3.test,367391008,Malaise,feel pretty lousy,C0231218,C0013987,
AskAPatient.fold-3.test,25064002,Headache,Extreme headaches,C0018681 C2096315,C0018681 C2096315,C0018681 C2096315 
AskAPatient.fold-3.test,21545007,Tenalgia,lower tendon pain,C0231529,C0231529,C0231529 
AskAPatient.fold-3.test,68962001,Myalgia,pain in muscles,C0231528,C0030193,
AskAPatient.fold-3.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-3.test,68962001,Myalgia,muscle pain,C0231528,C0231528 C1963177,C0231528 
AskAPatient.fold-3.test,95891005,Influenza-like illness,flu like symptoms,C0521839,C0392171,
AskAPatient.fold-3.test,47933007,Foot pain,pain in feet,C0016512 C2016948,C0030193 C0016504,
AskAPatient.fold-3.test,193000002,Temporal lobe epilepsy,Temporal Lobe epilepsy,C0014556,C0039485 C0014544,
AskAPatient.fold-3.test,62315008,Diarrhoea,dioreah,C0011991 C0474498,,
AskAPatient.fold-3.test,62507009,Pins and needles,tingling hands,C0423572,C2242996 C0018563,
AskAPatient.fold-3.test,248274002,Lack of energy,lack of energy,C0015672,C0015672,C0015672 
AskAPatient.fold-3.test,248490000,Bloating symptom,bloating,C1291077,C1291077,C1291077 
AskAPatient.fold-3.test,77424011000036100,ubidecarenone,Co Q 10,C0056077,,
AskAPatient.fold-3.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-3.test,67849003,Excruciating pain,excruciating unusual abdominal pain,C0278141,C0277969 C0581869 C2199213 C0000737 C0238552 C0238551 C0423646 C0235299 C0694551 C0423651,
AskAPatient.fold-3.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-3.test,228158008,Walking disability,difficulty walking,C0311394,C0311394,C0311394 
AskAPatient.fold-3.test,3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-3.test,56265001,Heart disease,heart desease,C0018799,C0018787,
AskAPatient.fold-3.test,40917007,Confusion,memory confusion,C0009676 C0683369 C2712099 C1963086,C0009676 C0700327 C0683369 C0025260 C1963086,C0009676 C0683369 C1963086 
AskAPatient.fold-3.test,267032009,Tired all the time,tired all the time,C0557875,C0557875,C0557875 
AskAPatient.fold-3.test,363346000,Malignant neoplastic disease,cancer,C1306459 C0006826,C0260515 C0006826,C0006826 
