AskAPatient.fold-1.test,21545007,Tenalgia,tendonitis,C0231529,C0039503,
AskAPatient.fold-1.test,3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,21565011000036108,ezetimibe + simvastatin,Vytorin,C0074554 C1142985,C1527845,
AskAPatient.fold-1.test,248274002,Lack of energy,have no energy,C0015672,C0424589,
AskAPatient.fold-1.test,102943000,Personality change,changed my personality from happy to a grouch,C0240735,C0018592 C0442739 C0031208 C0003944,
AskAPatient.fold-1.test,76948002,Severe pain,severe lower back pain,C0278140,C1306232 C2168111 C0024031,
AskAPatient.fold-1.test,309774006,Weakness of limb,weakness in back,C1836296 C0587246,C3714552,
AskAPatient.fold-1.test,84229001,Fatigue,fatigue,C0015672 C4050243,C0015672 C2024893,C0015672 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,399153001,Vertigo,vertigo,C0042571 C1564535 C1135208,C0042571 C2096293,C0042571 
AskAPatient.fold-1.test,444899003,Pain in forearm,Pain in forearms,C0239667,C0030193 C1882272 C2598155 C0016536,
AskAPatient.fold-1.test,3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,40196000,Mild pain,mild pain,C0278138,C0278138,C0278138 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,76948002,Severe pain,severe pain in one ankle,C0278140,C0278140 C0179081,C0278140 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,22298006,Myocardial infarction,heart attack,C0455406 C3845502 C0948369 C0027051 C0155668 C0155626 C2926063 C3810814 C0428953,C0027051,C0027051 
AskAPatient.fold-1.test,14760008,Constipation,Constipation,C0949135 C1963087 C0009806,C0949135 C1963087 C0009806,C0949135 C1963087 C0009806 
AskAPatient.fold-1.test,118932009,Disorder of foot,foot problems,C0016510,C0555980,
AskAPatient.fold-1.test,128139000,Inflammatory disorder,inflammation,C1290884 C3259275 C1285337 C0029400 C0029877 C0399561 C3860213 C3807248,C0854217 C0014236 C0017574 C0029877 C0021368 C0007971,C0029877 
AskAPatient.fold-1.test,69896004,Rheumatoid arthritis,RA,C0264993 C0409639 C0221614 C0003873 C0455571 C0740223 C0409637,,
AskAPatient.fold-1.test,84946008,Extreme exhaustion,EXTREME EXHAUSTION,C0277794,C0277794,C0277794 
AskAPatient.fold-1.test,128139000,Inflammatory disorder,inflamation,C1290884 C3259275 C1285337 C0029400 C0029877 C0399561 C3860213 C3807248,C0021368,
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,48167000,Amnesia,memory loss,C0002622 C3824794,C0002622 C0751295,C0002622 
AskAPatient.fold-1.test,297217002,Rib pain,sore ribs,C0574068,C0234233 C0035561,
AskAPatient.fold-1.test,300954003,Pain in calf,calf pains,C0236040,C0236040,C0236040 
AskAPatient.fold-1.test,68962001,Myalgia,muscle pain,C0231528,C0231528 C1963177,C0231528 
AskAPatient.fold-1.test,432352001,Increased creatine kinase level,high CPK level,C1301904 C1834662 C0151576 C1275731 C1275725 C2316757 C0750863 C1301804,,
AskAPatient.fold-1.test,3723001,Arthritis,arthritus,C3267876 C0003864,,
AskAPatient.fold-1.test,3723001,Arthritis,arthritis,C3267876 C0003864,C0263776 C0003873 C0541786 C0003864 C0158026 C1405877 C1328469,C0003864 
AskAPatient.fold-1.test,26329005,Poor concentration,terrible concentration,C0233417,C0854379 C0004268 C0549409 C0086045,
AskAPatient.fold-1.test,30989003,Knee pain,knee pain,C0231749,C0231749,C0231749 
AskAPatient.fold-1.test,297142003,Foot swelling,swollen feet and ankles,C0574002,C0581394 C0574002,C0574002 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,35489007,Depression,depression,C0011570 C1579931 C1999266 C0344315 C0520887 C0011581 C4049644 C2121458 C0812393 C0035143,C0011570 C0429108 C1579931 C1999266 C0344315 C0520887 C0011581 C0429068 C0812393 C4049644 C0035143,C0011570 C1579931 C1999266 C0344315 C0520887 C0011581 C0812393 C4049644 C0035143 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,82639001,Premenstrual tension syndrome,PMS symptoms,C0857183 C0033046 C0376356,C1457887,
AskAPatient.fold-1.test,3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,55300003,Muscle cramp,cramps,C0026821,C0026821,C0026821 
AskAPatient.fold-1.test,4344011000036106,Neurontin,Neurontin,C0678176,C0678176,C0678176 
AskAPatient.fold-1.test,422400008,Vomiting,vomitting,C0042963 C1963281,,
AskAPatient.fold-1.test,289903006,Menopause present,menopausal phase,C0567312,C0025320 C1096235,
AskAPatient.fold-1.test,30989003,Knee pain,knee pain,C0231749,C0231749,C0231749 
AskAPatient.fold-1.test,81680005,Neck pain,neck pain,C0007859 C1963180,C0007859 C1963180,C0007859 C1963180 
AskAPatient.fold-1.test,193570009,Cataract,cataract,C1690964 C1962983,C1690964 C1962983,C1690964 C1962983 
AskAPatient.fold-1.test,102556003,Pain in upper limb,aches and pain in both arms,C0239377,C0234238 C0030193 C0446516,
AskAPatient.fold-1.test,82991003,Generalised aches and pains,aches and pains,C0281856,C0234238 C0030193,
AskAPatient.fold-1.test,10601006,Pain in lower limb,leg pain,C0023222 C0839480,C0023222 C0839480,C0023222 C0839480 
AskAPatient.fold-1.test,22253000,Pain,pain,C0030193 C1882272 C2598155,C0030193,C0030193 
AskAPatient.fold-1.test,69791001,Increased venous pressure,high blood pressure,C0232115 C0232116,C0020538 C0857121 C0005824 C0005823 C2926615 C1272641,
AskAPatient.fold-1.test,301345002,Difficulty sleeping,can not sleep,C3641752 C0235162,C0424522 C0037313 C0013144,
AskAPatient.fold-1.test,386806002,Impaired cognition,Cognitive disfunction,C0338656,C0338656,C0338656 
AskAPatient.fold-1.test,193462001,Insomnia,Insomnia,C0917801 C1950154 C1963237,C0917801 C1950154 C1963237,C0917801 C1950154 C1963237 
AskAPatient.fold-1.test,76948002,Severe pain,severe pains,C0278140,C1306232 C0030193,
AskAPatient.fold-1.test,79890006,Loss of appetite,anorexic,C0003123 C1971624 C0426579,C0003123 C0003620 C0426579,C0003123 C0426579 
AskAPatient.fold-1.test,161891005,Backache,back pain,C0004604,C0004604 C0677061 C1963071,C0004604 
AskAPatient.fold-1.test,161891005,Backache,back pain,C0004604,C0004604 C0677061 C1963071,C0004604 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,202882003,Plantar fasciitis,plantar fasciitis in my feet,C0149756,C0149756 C0016504,C0149756 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,84114007,Heart failure,weak heart muscle,C0018801 C0018802,C0018801,C0018801 
AskAPatient.fold-1.test,25064002,Headache,HEADACHES,C0018681 C2096315,C0018681 C2096315,C0018681 C2096315 
AskAPatient.fold-1.test,88092000,Muscle atrophy,Muscle wasting,C0026846 C0541794,C0026846 C0541794,C0026846 C0541794 
AskAPatient.fold-1.test,309774006,Weakness of limb,arm weakness,C1836296 C0587246,C0751409,
AskAPatient.fold-1.test,3384011000036100,Arthrotec,Arthrotec,C0210355,C0210355,C0210355 
AskAPatient.fold-1.test,57676002,Arthralgia,joint pain,C0003862,C1963066 C0003862,C0003862 
AskAPatient.fold-1.test,404640003,Dizziness,dizzines,C0012833 C1963093 C4032495 C0042571,C0012833 C0042571,C0012833 C0042571 
AskAPatient.fold-1.test,3384011000036100,Arthrotec,arthrotec,C0210355,C0731335 C0731334 C0210355,C0210355 
AskAPatient.fold-1.test,21589011000036108,clonidine,clonidine,C0009014 C2346992 C1882374,C0009014 C2346992 C1882374,C0009014 C2346992 C1882374 
AskAPatient.fold-1.test,56608008,Pain in wrist,wrist pain,C0221785,C0221785,C0221785 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,84229001,Fatigue,fatigue,C0015672 C4050243,C0015672 C2024893,C0015672 
AskAPatient.fold-1.test,25064002,Headache,frequent headaches,C0018681 C2096315,C0948396,
AskAPatient.fold-1.test,49218002,Hip pain,hip hurt,C0030193,C0019552,
AskAPatient.fold-1.test,129565002,Myopathy,damaging my muscles,C0026848,,
AskAPatient.fold-1.test,76948002,Severe pain,severe pain,C0278140,C0278140,C0278140 
AskAPatient.fold-1.test,247592009,Poor short-term memory,short term memory loss,C0701811 C0025265,C0701811 C0025265,C0701811 C0025265 
AskAPatient.fold-1.test,3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,371632003,Coma,coma,C0009421,C0009421,C0009421 
AskAPatient.fold-1.test,162059005,Upset stomach,stomach upset,C0235309,C0235309,C0235309 
AskAPatient.fold-1.test,248491001,Swollen knee,swelling in knee,C0240130,C0038999 C0022742,
AskAPatient.fold-1.test,82971005,Impaired mobility,mobility was going from bad to worse,C0518456 C0812357,C1457868 C0425245 C2698482 C0231441,
AskAPatient.fold-1.test,282145008,Unable to walk,cannot walk even a short distance due to pain,C0560046,C0030193,
AskAPatient.fold-1.test,16331000,Heartburn,heartburn,C0018834,C0018834,C0018834 
AskAPatient.fold-1.test,129859006,Impaired bed mobility,inability to pull myself from bed,C0518456 C0812357,C0580846,
AskAPatient.fold-1.test,68962001,Myalgia,aching muscles,C0231528,C0234238,
AskAPatient.fold-1.test,68962001,Myalgia,muscles aches,C0231528,C0234238,
AskAPatient.fold-1.test,3384011000036100,Arthrotec,Arthrotec,C0210355,C0210355,C0210355 
AskAPatient.fold-1.test,246636008,Blurred vision - hazy,blured vision,C0344232,C0042789,
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,267036007,Dyspnoea,breathlessness,C0013404,C0425446 C0013404,C0013404 
AskAPatient.fold-1.test,3723001,Arthritis,arthritis,C3267876 C0003864,C0263776 C0003873 C0541786 C0003864 C0158026 C1405877 C1328469,C0003864 
AskAPatient.fold-1.test,68962001,Myalgia,muscle pain,C0231528,C0231528 C1963177,C0231528 
AskAPatient.fold-1.test,3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,47933007,Foot pain,Very Painful feet,C0016512 C2016948,C0857248,
AskAPatient.fold-1.test,57676002,Arthralgia,JOINT PAIN,C0003862,C1963066 C0003862,C0003862 
AskAPatient.fold-1.test,48500005,Delusional disorder,paranoia,C0236675 C0011251 C0520677,C1456784,
AskAPatient.fold-1.test,68962001,Myalgia,leg muscle pain,C0231528,C0231528 C1140621 C1963177,C0231528 
AskAPatient.fold-1.test,79890006,Loss of appetite,loss of appetite,C0003123 C1971624 C0426579,C0003123 C1971624 C0426579,C0003123 C1971624 C0426579 
AskAPatient.fold-1.test,124054003,Increased cholesterol esters,high cholesterol,C1522133 C3536712 C0595929 C0595930 C0549399 C1291155 C3276464 C1291156 C0020443 C0020445,C1522133 C0020443,C1522133 C0020443 
AskAPatient.fold-1.test,249938007,Weakness of back,lower back weakness,C3714552,C3714552,C3714552 
AskAPatient.fold-1.test,10601006,Pain in lower limb,shin pain,C0023222 C0839480,C0241032,
AskAPatient.fold-1.test,3877011000036101,Lipitor,LIPITOR,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,22253000,Pain,pain,C0030193 C1882272 C2598155,C0030193,C0030193 
AskAPatient.fold-1.test,249917001,Elbow stiff,elbows stiff,C0239272,C0013769,
AskAPatient.fold-1.test,22253000,Pain,pain,C0030193 C1882272 C2598155,C0030193,C0030193 
AskAPatient.fold-1.test,16973004,Limping,caused me to limp,C1456822 C0311395 C3669029,C0311395,C0311395 
AskAPatient.fold-1.test,166830008,Serum cholesterol raised,cholestorol which had jumped from 175 to 220,C0595929,C0560453,
AskAPatient.fold-1.test,57676002,Arthralgia,joint pain,C0003862,C1963066 C0003862,C0003862 
AskAPatient.fold-1.test,44695005,Paralysis,paralysis,C0522224,C0522224,C0522224 
AskAPatient.fold-1.test,248490000,Bloating symptom,bloat,C1291077,,
AskAPatient.fold-1.test,129565002,Myopathy,muscle problems,C0026848,C0033213 C2081614,
AskAPatient.fold-1.test,247347003,Discomfort,discomfort in my legs,C0234215 C2364135,C2364135 C1140621 C0234215,C2364135 C0234215 
AskAPatient.fold-1.test,131148009,Bleeding,Bleeding problems,C0019080,C0033213 C0019080 C2081614,C0019080 
AskAPatient.fold-1.test,3877011000036101,Lipitor,Lipitor's,C0593906,C0593906,C0593906 
AskAPatient.fold-1.test,3384011000036100,Arthrotec,arthrotec,C0210355,C0731335 C0731334 C0210355,C0210355 
AskAPatient.fold-1.test,76948002,Severe pain,extreme pain,C0278140,C0030193,
AskAPatient.fold-1.test,95655001,Ophthalmic migraine,ocular migranes,C0338481,C0015392,
AskAPatient.fold-1.test,162397003,Pain in throat,throat pain,C0242429,C2015956 C0242429,C0242429 
AskAPatient.fold-1.test,162076009,Excessive upper gastrointestinal gas,geneal aches and pains,C0426623 C0426624,C0234238 C0030193,
AskAPatient.fold-1.test,81680005,Neck pain,neck pain,C0007859 C1963180,C0007859 C1963180,C0007859 C1963180 
