12063002,Rectal haemorrhage,rectal bleeding,C0026821 C1446787 C0039866 C0030193,C0027121 C0039866 C0231528 C0030797,C0039866 
95891005,Influenza-like illness,i felt like I always had the flu,C0524469 C0234238 C1288640,C0037011 C0423670,
21238011000036103,oestradiol,Estrace,C0593906,C0593906,C0593906 
57676002,Arthralgia,finger joint pain similar to arthritis,C0857233,C3827302 C0235198,
39423001,Stammering,Stuttering,C2053618 C1305866 C0424653,C0497406,
3877011000036101,Lipitor,Lipitor,C0013987,C0456814,
57676002,Arthralgia,joint pains,C0723893,C0033228,
44548000,Hyperactive behaviour,hyperactive,C0016504 C0023218,C0010263,
35489007,Depression,depression,C0235309,C0235309 C0221512,C0235309 
22253000,Pain,pain,,C0593906,
431416001,Menstrual cramp,menstrual cramps,C0850630,C0423572,
81680005,Neck pain,neck pain,C0593906,C0593906,C0593906 
13791008,Asthenia,weakness,C2096315 C0018681,C0149931 C0724401,
193462001,Insomnia,insomnia,C0030193,C1882272 C2598155 C0030193,C0030193 
3298011000036103,Lipex,LIPEX,C3714552,C1834451 C0151786 C0030552,
102556003,Pain in upper limb,pain in arm,C0593906,C0593906,C0593906 
62507009,Pins and needles,finger pins and needles,C0557932,C1636063 C1963167 C0233794,
36031001,Burning feet,heel is hot,C1834451 C2673994 C0150841 C0239831 C1268256 C0230347 C0151786 C0030552 C0587246 C0586738 C0240479 C1168241,C1836296 C0587246,C0587246 
3877011000036101,Lipitor,lipitor,C0030193,C1882272 C2598155 C0030193,C0030193 
84229001,Fatigue,fatigue,C0239377,C0239377,C0239377 
193462001,Insomnia,insomnia,C0596601,C0426623 C0426624,
26544005,Muscle weakness,No strength,C0013987 C0849912,C0085633,
6206011000036109,Lipitor 40 mg tablet: film-coated,Lipitor 40 mg,C0751372,C0027796,
22253000,Pain,pains,C0013443,C0239221,
448589005,Arthritis of hand,severe swolen/inflamation of the fingers/hand,C0042789,C0344232,
3877011000036101,Lipitor,Lipitor,C0017675,C0426623 C0426624,
162059005,Upset stomach,sick to my stomach,C1505021,C1505021,C1505021 
10601006,Pain in lower limb,lower legs hurt,C0037763,C0026821 C0037763,C0037763 
3877011000036101,Lipitor,Lipitor,C0338591,C0338591,C0338591 
80182007,Irregular menstruation,Timing off for a true period,C0025320 C0567312 C0993589 C0206158,C0567312,C0567312 
228158008,Walking disability,can hardly walk,C0006434,C0236040,
309087008,Paraesthesia of foot,Toe tinglingling,C0593906,C0593906,C0593906 
22298006,Myocardial infarction,Heart attack,C0547030 C0455519 C0348571 C0029844,C0547030 C0348571 C0029844,C0547030 C0348571 C0029844 
68962001,Myalgia,muscle pain,C0230168 C0019080 C3203359 C0000726 C1276272 C1283786 C0005847 C0010200,C2733377,
3877011000036101,Lipitor,LIPITOR,,C0424539,
44077006,Numbness,numb,C0033774,C0033774,C0033774 
3877011000036101,Lipitor,Lipitor,C0011265 C0497327,C0011265 C0497327,C0011265 C0497327 
84229001,Fatigue,feeling exausted,C0593906,C0593906,C0593906 
301345002,Difficulty sleeping,hard time sleeping,C0593906,C0593906,C0593906 
62315008,Diarrhoea,diarhea,C0231441 C1288948 C3844126 C0230370 C0425245 C2698482,C0562009 C0239827 C0578673,
289903006,Menopause present,menopause,C0731334 C0731335 C0210355,C0210355,C0210355 
25064002,Headache,Headaches,C0593906,C0593906,C0593906 
